Cột 1,Cột 2,Cột 3,Cột 4,Cột 5,Cột 6,Cột 7
Tổng hợp đồng,530
Hợp đồng đang hiệu lực,160
Hợp đồng chờ duyệt,62
Hợp đồng sắp hết hạn,83
Hợp đồng đã hết hạn,101
Tổng giá trị hợp đồng (VND),899000000000

--- PHÂN BỔ TRẠNG THÁI ---,
Nháp,178
Đã gia hạn,50
Chấm dứt,50
Đã hết hạn,50
Đang hiệu lực,160
Sắp hết hạn,42

--- PHÂN BỔ ĐỐI TÁC ---,
Tập đoàn Á Châu 51,10000000000
Doanh nghiệp tư nhân Đại Dương 151,10000000000
Tổng công ty Thái Bình Dương 251,10000000000
Công ty Cổ phần XYZ 351,10000000000
Chi nhánh Toàn Cầu 451,10000000000

--- HỢP ĐỒNG SẮP HẾT HẠN ---,
Mã hợp đồng,Tên hợp đồng,Đối tác,Ngày hết hạn,Trạng thái,Giá trị,Số ngày còn lại
HD-2026-0195,Hợp đồng Hợp đồng Tư vấn - Công ty TNHH ABC 196,Công ty TNHH ABC 196,2026-05-06,EXPIRING_SOON,1250000000,5
HD-2026-0495,Hợp đồng Hợp đồng Cấp phép - Tổng công ty Thương Mại Việt 496,Tổng công ty Thương Mại Việt 496,2026-05-06,EXPIRING_SOON,1250000000,5
HD-2026-0795,Hợp đồng Hợp đồng Bảo trì - Hợp tác xã Thành Đạt 796,Hợp tác xã Thành Đạt 796,2026-05-06,EXPIRING_SOON,1250000000,5
HD-2026-0285,Hợp đồng Hợp đồng Cấp phép - Tổng công ty Thương Mại Việt 286,Tổng công ty Thương Mại Việt 286,2026-05-06,EXPIRING_SOON,750000000,5
HD-2026-0585,Hợp đồng Hợp đồng Bảo trì - Hợp tác xã Thành Đạt 586,Hợp tác xã Thành Đạt 586,2026-05-06,EXPIRING_SOON,750000000,5
HD-2026-0885,Hợp đồng Hợp đồng Thuê tài sản - Doanh nghiệp tư nhân Bình Minh 886,Doanh nghiệp tư nhân Bình Minh 886,2026-05-06,EXPIRING_SOON,750000000,5
